sn,object type,object,time,Capacity usage(%),Mapped LUN capacity(MB),Total capacity(MB),Used capacity(MB),array_num
20231121131239,Array,System,2023-06-19 00:00:00,39.57949135823615,,3619711450.449219,1432663380.723633,Array3
20231121131239,Array,System,2023-06-20 00:00:00,39.76518345704286,,3619711450.449219,1439384898.886719,Array3
20231121131239,Array,System,2023-06-21 00:00:00,39.98263030615889,,3619711450.449219,1447255847.382813,Array3
20231121131239,Array,System,2023-06-22 00:00:00,40.04615909754224,,3619711450.449219,1449555406.318848,Array3
20231121131239,Array,System,2023-06-23 00:00:00,40.14971510430106,,3619711450.449219,1453303834.953125,Array3
20231121131239,Array,System,2023-06-24 00:00:00,40.24266964814108,,3619711450.449219,1456668521.220215,Array3
20231121131239,Array,System,2023-06-25 00:00:00,40.31361405746399,,3619711450.449219,1459236504.12793,Array3
20231121131239,Array,System,2023-06-26 00:00:00,40.37770839494125,,3619711450.449219,1461556534.200684,Array3
20231121131239,Array,System,2023-06-27 00:00:00,40.44346215989361,,3619711450.449219,1463936630.759766,Array3
20231121131239,Array,System,2023-06-28 00:00:00,40.50699650614824,,3619711450.449219,1466236390.766113,Array3
20231121131239,Array,System,2023-06-29 00:00:00,40.64888445728384,,3619711450.449219,1471372325.180176,Array3
20231121131239,Array,System,2023-06-30 00:00:00,40.695301240518525,,3619711450.449219,1473052478.797852,Array3
20231121131239,Array,System,2023-07-01 00:00:00,40.69511928439547,,3619711450.449219,1473045892.511231,Array3
20231121131239,Array,System,2023-07-02 00:00:00,40.77269670179694,,3619711450.449219,1475853971.171875,Array3
20231121131239,Array,System,2023-07-03 00:00:00,40.83449279165784,,3619711450.449219,1478090811.3125,Array3
20231121131239,Array,System,2023-07-04 00:00:00,40.8354361400359,,3619711450.449219,1478124957.801758,Array3
20231121131239,Array,System,2023-07-05 00:00:00,40.79587996709534,,3619711450.449219,1476693138.480469,Array3
20231121131239,Array,System,2023-07-06 00:00:00,40.72885866095568,,3619711450.449219,1474267160.587891,Array3
